Inbound delivery created this many days after shipment,PO issued on date,Delivery entered by supplier on,PO-line-Conf type,PO-line-Conf type,Vendor,vendor name,Plant,PO Document Date,PO Document,PO Item,Confirmation Number,Confirmation Category,Created by,Purchasing Group,Responsible buyer,Delivery Created by,Created on,Lead Time Code,Confirmed Delivery Date
PO conf,1/3/2020,PO conf,451018046411ABLR9,451018046411AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,11,5,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,04/17/2020
PO conf,1/3/2020,PO conf,451018046412ABLR9,451018046412AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,12,1,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,04/10/2020
3,1/3/2020,03/16/2020,451018046412LALR9,451018046412LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,12,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,03/16/2020,F2807,04/10/2020
0,1/3/2020,03/23/2020,451018046413LALR9,451018046413LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,13,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,03/23/2020,F2807,04/20/2020
PO conf,1/3/2020,PO conf,451018046413ABLR9,451018046413AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180464,13,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,04/17/2020
0,1/3/2020,03/23/2020,45101804651LALR9,45101804651LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,1,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,03/23/2020,F2807,04/20/2020
PO conf,1/3/2020,PO conf,45101804651ABLR9,45101804651AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,1,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,04/17/2020
-1,1/3/2020,04/12/2020,45101804652LALR9,45101804652LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,2,1,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,04/12/2020,F2807,05/11/2020
0,1/3/2020,04/06/2020,45101804652LALR9,45101804652LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,2,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,04/06/2020,F2807,05/04/2020
PO conf,1/3/2020,PO conf,45101804652ABLR9,45101804652AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,2,4,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,05/01/2020
PO conf,1/3/2020,PO conf,45101804652ABLR9,45101804652AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,2,5,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,05/08/2020
0,1/3/2020,04/06/2020,45101804654LALR9,45101804654LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,4,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,04/06/2020,F2807,05/04/2020
PO conf,1/3/2020,PO conf,45101804654ABLR9,45101804654AB,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,4,3,AB,GELECCLCL_BI,531,Zhiqiang Zhou,#,04/09/2020,F2807,05/01/2020
0,1/3/2020,03/30/2020,45101804655LALR9,45101804655LA,105559,"XIAMEN TOPSTAR LIGHTING CO.,LTD",6XWC,01/03/2020,4510180465,5,2,LA,GELECCLCL_BI,531,Zhiqiang Zhou,GELPI_PROXY,03/30/2020,F2807,04/27/2020
